BRAND,PRODUCT,ACTUAL PRICE,DISCOUNTED PRICE,DISCOUNT
Friskers, Printed Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
Maniac, Printed Round Neck Olive T-shirt , Rs.1249 , Rs.362 , 71% 
next, Solid V-Neck T-shirt , Rs.789 , Rs.591 , 25% 
Polo Ralph Lauren, Solid Round Neck T-shirt , Rs.3990 , Rs.3990 , 0%
HERE&NOW, Colourblocked Polo Collar T-shirt , Rs.1199 , Rs.719 , 40% 
UNDER ARMOUR, Stephen Curry 30 T-shirt , Rs.3499 , Rs.3499 , 0%
Roadster, Colourblocked Round Neck T-shirt , Rs.699 , Rs.349 , 50% 
Calvin Klein Jeans, Men Striped Round Neck T-shirt , Rs.2399 , Rs.2399 , 0%
Monte Carlo, Solid Polo Collar T-shirt , Rs.1270 , Rs.952 , 25% 
U.S. Polo Assn., Solid Polo T-shirt , Rs.1699 , Rs.849 , 50% 
Roadster, Striped Polo Collar T-shirt , Rs.899 , Rs.629 , 30% 
Mast & Harbour, Striped Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
UNDER ARMOUR, Big Logo SS Printed T-shirt , Rs.1799 , Rs.1799 , 0%
Roadster, Solid Round Neck T-shirt , Rs.599 , Rs.419 , 30% 
Moda Rapido, Colourblocked T-shirt , Rs.599 , Rs.599 , 0%
Polo Ralph Lauren, Custom Slim Fit Pocket Tee , Rs.4990 , Rs.4990 , 0%
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.299 , 50% 
Calvin Klein Jeans, Solid Polo T-shirt , Rs.3799 , Rs.3799 , 0%
Roadster, Solid Hooded T-shirt , Rs.599 , Rs.419 , 30% 
Lacoste, Classic Fit L.12.12 Polo , Rs.4250 , Rs.4250 , 0%
Roadster, Striped Round Neck T-shirt , Rs.599 , Rs.419 , 30% 
Wildcraft, Men Solid Round Neck T-shirt , Rs.799 , Rs.559 , 30% 
Puma, Printed Round Neck T-shirt , Rs.1299 , Rs.584 , 55% 
ADIDAS, Manchester United FC Home , Rs.4999 , Rs.2999 , 40% 
HERE&NOW, Striped Round Neck T-shirt , Rs.899 , Rs.449 , 50% 
Superdry, Printed Round Neck T-shirt , Rs.3599 , Rs.2699 , 25% 
U.S. Polo Assn. Denim Co., Solid Round Neck T-shirt , Rs.899 , Rs.629 , 30% 
Kook N Keech Marvel, Printed Round Neck T-shirt , Rs.799 , Rs.479 , 40% 
Wildcraft, Solid Round Neck T-shirt , Rs.899 , Rs.629 , 30% 
Campus Sutra, Ombre-Dyed Henley Neck T-shirt , Rs.749 , Rs.337 , 55% 
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
HRX by Hrithik Roshan, Printed T-shirt , Rs.699 , Rs.419 , 40% 
Superdry, Printed Round Neck T-shirt , Rs.2999 , Rs.2249 , 25% 
Denizen From Levis, Solid Polo T-shirt , Rs.899 , Rs.899 , 0%
United Colors of Benetton, Solid Polo Collar T-shirt , Rs.1599 , Rs.959 , 40% 
Roadster, Solid Round Neck T-shirt , Rs.799 , Rs.399 , 50% 
HRX by Hrithik Roshan, Printed Round Neck T-Shirt , Rs.699 , Rs.489 , 30% 
KVL, Men Printed Round Neck T-shirt , Rs.699 , Rs.699 , 0%
next, Striped Round Neck T-shirt , Rs.2391 , Rs.1434 , 40% 
Roadster, Men Printed Round Neck T-shirt , Rs.699 , Rs.349 , 50% 
Kook N Keech, Printed Longline T-shirt , Rs.799 , Rs.479 , 40% 
KVL, Printed Round Neck T-shirt , Rs.699 , Rs.699 , 0%
HIGHLANDER, Slim Fit T-shirt , Rs.699 , Rs.314 , 55% 
WROGN, Printed Round Neck T-shirt , Rs.699 , Rs.489 , 30% 
Calvin Klein Jeans, Solid Polo Collar T-shirt , Rs.3999 , Rs.3999 , 0%
BULLMER, Men Checked Polo T-shirt , Rs.999 , Rs.999 , 0%
UNDER ARMOUR, Men Solid MK1 T-shirt , Rs.2299 , Rs.2299 , 0%
Roadster, Solid Round Neck T-Shirt , Rs.399 , Rs.319 , 20% 
Superdry, Men Printed T-shirt , Rs.3999 , Rs.2999 , 25% 
Kook N Keech Marvel, Kook N Keech Marvel Black Captain America Print T-shirt , Rs.699 , Rs.349 , 50% 
Fort Collins, Striped Round Neck T-shirt , Rs.899 , Rs.899 , 0%
United Colors of Benetton, Polo Collar T-shirt , Rs.2199 , Rs.989 , 55% 
Ecko Unltd, Solid Mandarin Collar T-shirt , Rs.699 , Rs.454 , 35% 
Ecko Unltd, Printed Round Neck T-shirt , Rs.399 , Rs.259 , 35% 
Roadster, Striped Henley Neck T-shirt , Rs.999 , Rs.699 , 30% 
ARISE, Solid V-Neck T-shirt    , Rs.499 , Rs.324 , 35% 
Moda Rapido, Printed Round Neck T-shirt , Rs.649 , Rs.649 , 0%
Wildcraft, Men Solid Round Neck T-shirt , Rs.999 , Rs.699 , 30% 
WEXFORD, Colourblocked Polo Collar T-shirt , Rs.899 , Rs.449 , 50% 
Ecko Unltd, Printed Round Neck T-shirt , Rs.399 , Rs.259 , 35% 
GAP, Henley Neck Vintage Jersey , Rs.1999 , Rs.1499 , 25% 
Scotch & Soda, Solid Polo Collar T-shirt , Rs.5490 , Rs.3568 , 35% 
Mast & Harbour, Striped Round Neck T-shirt , Rs.599 , Rs.419 , 30% 
Roadster, Solid Round Neck T-shirt , Rs.599 , Rs.299 , 50% 
Kalt, Colourblocked Round Neck T-shirt , Rs.700 , Rs.490 , 30% 
WEXFORD, Striped Polo Collar T-shirt , Rs.899 , Rs.449 , 50% 
Moda Rapido, Printed Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
Puma, Men Summer Logo T-shirt , Rs.1799 , Rs.1259 , 30% 
Roadster, Printed Round Neck T-shirt , Rs.699 , Rs.419 , 40% 
next, Solid Polo Collar T-shirt , Rs.2330 , Rs.1631 , 30% 
Denizen From Levis, Printed Round Neck T-shirt , Rs.1299 , Rs.1299 , 0%
Scotch & Soda, Round Neck T-shirt , Rs.3990 , Rs.2394 , 40% 
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.299 , 50% 
Bossini, Colourblocked Polo Collar T-shirt , Rs.999 , Rs.999 , 0%
Superdry, Embroidered Round Neck T-shirt , Rs.2999 , Rs.2249 , 25% 
French Connection, Printed Polo Collar T-shirt , Rs.2299 , Rs.1264 , 45% 
Parx, Solid Polo Collar T-shirt , Rs.1199 , Rs.899 , 25% 
Superdry, Printed Slim Fit T-shirt , Rs.2599 , Rs.1949 , 25% 
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.299 , 50% 
UNDER ARMOUR, Men Vanish Seamless T-shirt , Rs.3999 , Rs.3999 , 0%
French Connection, Printed Round Neck T-shirt , Rs.1099 , Rs.604 , 45% 
Moda Rapido, Printed Round Neck T-shirt , Rs.699 , Rs.489 , 30% 
Red Tape, Solid V-Neck Black T-shirt , Rs.1099 , Rs.329 , 70% 
Superdry, Men Solid T-shirt , Rs.3599 , Rs.2699 , 25% 
WROGN, Printed Polo Collar T-shirt , Rs.1399 , Rs.839 , 40% 
Wildcraft, Men Solid Round Neck T-shirt , Rs.999 , Rs.699 , 30% 
Maniac, Striped Round Neck T-shirt , Rs.1179 , Rs.353 , 70% 
Roadster, Striped Polo Collar T-shirt , Rs.999 , Rs.499 , 50% 
Roadster, Solid Polo Collar Green T-shirt , Rs.999 , Rs.599 , 40% 
Kalt, Solid Hood T-shirt , Rs.1000 , Rs.700 , 30% 
Roadster, Varsity Print T-shirt , Rs.599 , Rs.299 , 50% 
Calvin Klein Jeans, Printed Round Neck T-shirt , Rs.2299 , Rs.1379 , 40% 
HRX by Hrithik Roshan, Solid Crew Neck T-shirt , Rs.899 , Rs.449 , 50% 
Ajile by Pantaloons, Solid Round Neck T-shirt , Rs.599 , Rs.449 , 25% 
HIGHLANDER, Printed Round Neck T-shirt , Rs.699 , Rs.349 , 50% 
T-Tog, Solid Round Neck T-shirt , Rs.649 , Rs.324 , 50% 
Roadster, Solid Polo Collar T-shirt , Rs.899 , Rs.449 , 50% 
Roadster, Colourblocked Polo Collar T-shirt , Rs.699 , Rs.489 , 30% 
Crocodile, Printed Round Neck T-shirt , Rs.599 , Rs.509 , 15% 
Superdry, Men Solid T-shirt , Rs.2999 , Rs.2249 , 25% 
Roadster, Solid Round Neck T-shirt , Rs.799 , Rs.479 , 40% 
Invincible, Solid Round Neck T-shirt , Rs.599 , Rs.449 , 25% 
Newport, Printed Round Neck T-shirt , Rs.599 , Rs.389 , 35% 
Superdry, Men Round Neck T-shirt , Rs.3599 , Rs.2699 , 25% 
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.299 , 50% 
ether, Colourblocked Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
Moda Rapido, Self-Design Polo T-shirt , Rs.899 , Rs.719 , 20% 
Fame Forever by Lifestyle, Solid V-Neck T-shirt , Rs.399 , Rs.299 , 25% 
American Crew, Solid Polo Collar T-shirt , Rs.1999 , Rs.699 , 65% 
HIGHLANDER, Henley T-shirt , Rs.699 , Rs.384 , 45% 
Roadster, Colourblocked Round Neck T-shirt , Rs.899 , Rs.449 , 50% 
United Colors of Benetton, Solid Stand Collar  T-shirt , Rs.1399 , Rs.629 , 55% 
Kalt, Solid Henley Collar T-shirt , Rs.700 , Rs.490 , 30% 
Calvin Klein Jeans, Solid Round Neck T-shirt , Rs.2599 , Rs.2599 , 0%
Roadster, Time Travlr Scoop Neck T-shirt , Rs.299 , Rs.209 , 30% 
Difference of Opinion, Round Neck T-shirt , Rs.1099 , Rs.494 , 55% 
Roadster, Time Travlr Colourblocked T-shirt , Rs.399 , Rs.279 , 30% 
Polo Ralph Lauren, Custom Slim Fit Mesh Polo , Rs.8290 , Rs.8290 , 0%
ESPRIT, Printed Round Neck T-shirt , Rs.999 , Rs.999 , 0%
Reebok, CT Training T-shirt , Rs.999 , Rs.599 , 40% 
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
Ecko Unltd, Printed Round Neck T-shirt , Rs.399 , Rs.259 , 35% 
Young Trendz, Printed Round Neck T-shirt , Rs.849 , Rs.339 , 60% 
Superdry, Men Solid T-shirt , Rs.1999 , Rs.1499 , 25% 
Marks & Spencer, Striped Henley Neck T-shirt , Rs.1499 , Rs.1199 , 20% 
Roadster, Round Neck T-shirt , Rs.799 , Rs.639 , 20% 
United Colors of Benetton, Colourblocked Hooded T-shirt , Rs.2399 , Rs.1079 , 55% 
Red Tape, Solid Polo Collar Charcoal T-shirt , Rs.1799 , Rs.539 , 70% 
Forca, Solid Round Neck T-shirt , Rs.599 , Rs.479 , 20% 
Calvin Klein Jeans, Striped Polo Collar T-shirt , Rs.4599 , Rs.4599 , 0%
Newport, Printed Round Neck T-shirt , Rs.599 , Rs.389 , 35% 
DILLINGER, Printed Round Neck T-shirt , Rs.1099 , Rs.439 , 60% 
WEXFORD, Striped Polo Collar T-shirt , Rs.899 , Rs.449 , 50% 
Roadster, Solid Hood T-shirt , Rs.599 , Rs.419 , 30% 
Reebok, Men Grindle Training T-shirt , Rs.1499 , Rs.1499 , 0%
Superdry, Printed Round Neck T-shirt , Rs.3599 , Rs.2699 , 25% 
Roadster, Striped Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
Mast & Harbour, Printed Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
ARISE, Solid Round Neck T-shirt , Rs.699 , Rs.349 , 50% 
Fame Forever by Lifestyle, Solid Round Neck T-shirt , Rs.599 , Rs.299 , 50% 
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.299 , 50% 
Scotch & Soda, Solid Polo T-shirt , Rs.3490 , Rs.2617 , 25% 
Roadster, Solid Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
Okane, Solid Round Neck T-shirt , Rs.649 , Rs.324 , 50% 
Mast & Harbour, Striped Round Neck T-shirt , Rs.499 , Rs.349 , 30% 
4F, Solid Round Neck T-shirt , Rs.1540 , Rs.1540 , 0%
Braveo, Men Round Neck T-shirt , Rs.899 , Rs.314 , 65% 
Calvin Klein Jeans, Men Printed Round Neck T-shirt , Rs.3299 , Rs.3299 , 0%
FiTZ, Colourblocked Round Neck T-shirt , Rs.845 , Rs.380 , 55% 
Roadster, Solid Hood Slub T-shirt , Rs.699 , Rs.419 , 40% 
Invincible, Solid Round Neck T-shirt , Rs.699 , Rs.524 , 25% 
Roadster, Solid Polo T-shirt , Rs.799 , Rs.479 , 40% 
HRX by Hrithik Roshan, Printed Round Neck T-shirt , Rs.899 , Rs.719 , 20% 
Roadster, Solid V-Neck T-shirt , Rs.399 , Rs.319 , 20% 
Ecko Unltd, Printed Round Neck T-shirt , Rs.399 , Rs.259 , 35% 
GAS, Men Solid T-Shirt , Rs.1990 , Rs.1194 , 40% 
Ecko Unltd, Printed Round Neck T-shirt , Rs.399 , Rs.259 , 35% 
Harley-Davidson, Printed Round Neck T-shirt , Rs.4616 , Rs.3462 , 25% 
Moda Rapido, Printed Polo Collar T-shirt , Rs.899 , Rs.719 , 20% 
HRX by Hrithik Roshan, Solid High Neck T-shirt , Rs.1099 , Rs.549 , 50% 
U.S. Polo Assn. Denim Co., Printed Round Neck T-shirt , Rs.999 , Rs.649 , 35% 
Mast & Harbour, Solid Henley Neck T-shirt , Rs.599 , Rs.359 , 40% 
KVL, Men Printed Round Neck T-shirt , Rs.699 , Rs.699 , 0%
GAP, Logo Short Sleeve T-Shirt , Rs.1499 , Rs.1124 , 25% 
Roadster, Men Solid V-Neck T-shirt , Rs.599 , Rs.299 , 50% 
Mast & Harbour, Printed Round Neck T-shirt , Rs.699 , Rs.349 , 50% 
next, Solid Round Neck T-shirt , Rs.1195 , Rs.836 , 30% 
ether, Solid Pique Polo T-shirt , Rs.599 , Rs.359 , 40% 
Fort Collins, Solid Round Neck T-shirt , Rs.499 , Rs.499 , 0%
Roadster, Striped Round Neck T-shirt , Rs.599 , Rs.419 , 30% 
SayItLoud, Colourblocked Round Neck T-shirt , Rs.1099 , Rs.1099 , 0%
Calvin Klein Jeans, Striped Polo Collar T-shirt , Rs.4499 , Rs.2924 , 35% 
WEXFORD, Printed V-Neck Grey T-shirt , Rs.899 , Rs.404 , 55% 
HERE&NOW, Striped Round Neck T-shirt , Rs.899 , Rs.449 , 50% 
GAS, Solid Round Neck T-shirt , Rs.2990 , Rs.2242 , 25% 
United Colors of Benetton, Solid Polo Collar T-shirt , Rs.1199 , Rs.539 , 55% 
NEVA, Solid Polo Collar T-shirt , Rs.929 , Rs.929 , 0%
ARISE, Solid Henley Neck T-shirt , Rs.799 , Rs.399 , 50% 
Maniac, Men Round Neck T-shirt , Rs.1099 , Rs.329 , 70% 
SayItLoud, Colourblocked Round Neck T-shirt , Rs.999 , Rs.999 , 0%
next, Printed Round Neck T-shirt , Rs.2368 , Rs.1657 , 30% 
Okane, Self Design Round Neck T-shirt , Rs.499 , Rs.324 , 35% 
Sweet Dreams, Solid Round Neck T-shirt , Rs.624 , Rs.343 , 45% 
Roadster, Solid Round Neck T-shirt , Rs.399 , Rs.279 , 30% 
Harvard, Colourblocked Round Neck T-shirt , Rs.999 , Rs.699 , 30% 
next, Short Sleeve T-Shirt , Rs.1300 , Rs.910 , 30% 
Crocodile, Striped Polo Collar T-shirt , Rs.1399 , Rs.979 , 30% 
Red Tape, Solid Henley Neck T-shirt , Rs.2299 , Rs.689 , 70% 
People, Solid Polo Collar T-shirt , Rs.699 , Rs.552 , 21% 
ether, Striped Round Neck T-shirt , Rs.499 , Rs.349 , 30% 
Scotch & Soda, Printed Polo T-shirt , Rs.5490 , Rs.3568 , 35% 
Friskers, Printed Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
Tinted, Solid Round Neck T-shirt , Rs.725 , Rs.326 , 55% 
Roadster, Printed T-shirt , Rs.799 , Rs.479 , 40% 
HIGHLANDER, Printed Polo Collar T-shirt , Rs.1099 , Rs.549 , 50% 
Fitkin, Printed Round Neck T-shirt , Rs.1199 , Rs.779 , 35% 
Roadster, Solid V-Neck T-Shirt , Rs.399 , Rs.239 , 40% 
HERE&NOW, Striped Round Neck T-shirt , Rs.599 , Rs.329 , 45% 
Calvin Klein Jeans, Printed Round Neck T-shirt , Rs.3299 , Rs.3299 , 0%
Blue Saint, Solid Round Neck T-shirt , Rs.499 , Rs.499 , 0%
French Connection, Solid Slim Polo Collar T-shirt , Rs.1999 , Rs.1099 , 45% 
Fort Collins, Striped Henley Neck T-shirt , Rs.699 , Rs.699 , 0%
Roadster, Round Neck T-shirt , Rs.399 , Rs.279 , 30% 
Calvin Klein Jeans, Printed Round Neck T-shirt , Rs.2599 , Rs.2599 , 0%
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
Wildcraft, Solid Round Neck T-shirt , Rs.799 , Rs.559 , 30% 
Superdry, Solid Polo Collar T-shirt , Rs.3999 , Rs.2999 , 25% 
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.299 , 50% 
Moda Rapido, Printed Polo Collar T-shirt , Rs.899 , Rs.899 , 0%
Mast & Harbour, Colourblocked Polo Collar T-shirt , Rs.899 , Rs.449 , 50% 
Friskers, Printed Round Neck T-shirt , Rs.799 , Rs.359 , 55% 
Superdry, Camouflage Print T-shirt , Rs.1999 , Rs.1499 , 25% 
Harvard, Solid Polo Collar T-shirt , Rs.999 , Rs.499 , 50% 
Roadster, Colourblocked Round Neck T-shirt , Rs.699 , Rs.349 , 50% 
Levis, Solid Polo Collar T-shirt , Rs.2199 , Rs.2199 , 0%
ASICS, Men Polo Collar T-shirt , Rs.2299 , Rs.1724 , 25% 
2GO, Solid Round Neck T-shirt , Rs.799 , Rs.399 , 50% 
Calvin Klein Jeans, Solid Polo T-shirt , Rs.3999 , Rs.3999 , 0%
ether,  Chest Print T-shirt , Rs.499 , Rs.399 , 20% 
Roadster, Brand Carrier T-shirt , Rs.599 , Rs.299 , 50% 
Maniac, Printed Round Neck T-shirt , Rs.1069 , Rs.320 , 70% 
Difference of Opinion, Printed Round Neck Black T-shirt , Rs.1099 , Rs.494 , 55% 
Moda Rapido, Dyed Round Neck T-shirt , Rs.599 , Rs.599 , 0%
Superdry, Printed Round Neck T-shirt , Rs.2999 , Rs.2249 , 25% 
ADIDAS, Manchester United F.C. Away , Rs.4999 , Rs.3499 , 30% 
Superdry, Printed Round Neck T-shirt , Rs.3599 , Rs.2699 , 25% 
Superdry, Solid V-Neck T-shirt , Rs.1699 , Rs.1274 , 25% 
WEXFORD, Printed Round Neck Yellow T-shirt , Rs.899 , Rs.404 , 55% 
Mast & Harbour, Striped Round Neck T-shirt , Rs.799 , Rs.479 , 40% 
WROGN, Printed Round Neck T-shirt , Rs.899 , Rs.539 , 40% 
FIDO DIDO, Printed Polo Collar T-shirt , Rs.1449 , Rs.579 , 60% 
Scotch & Soda, Printed Round Neck T-shirt , Rs.3990 , Rs.2593 , 35% 
HRX by Hrithik Roshan, Men Lifestyle Tshirts , Rs.699 , Rs.419 , 40% 
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.299 , 50% 
Friskers, Printed Round Neck T-shirt , Rs.649 , Rs.324 , 50% 
COBB, Solid Round Neck T-shirt , Rs.899 , Rs.314 , 65% 
Roadster, Solid Polo Collar T-shirt , Rs.999 , Rs.499 , 50% 
GESPO, Solid Henley Neck T-shirt , Rs.849 , Rs.339 , 60% 
United Colors of Benetton, Solid V-Neck T-shirt , Rs.999 , Rs.449 , 55% 
HERE&NOW, Printed Round Neck Mauve T-shirt , Rs.799 , Rs.479 , 40% 
Calvin Klein Jeans, Solid Round Neck T-shirt , Rs.3299 , Rs.3299 , 0%
Nike, Men MILER COOL TANK Running , Rs.2295 , Rs.1721 , 25% 
Jack & Jones, Solid Polo Collar T-shirt , Rs.2299 , Rs.804 , 65% 
United Colors of Benetton, Men Striped Round Neck T-shirt , Rs.1599 , Rs.799 , 50% 
Ecko Unltd, Solid Hooded T-shirt , Rs.699 , Rs.454 , 35% 
Mast & Harbour, Self Design Round Neck T-shirt , Rs.899 , Rs.539 , 40% 
Timberland, Printed Round Neck T-shirt , Rs.2799 , Rs.1819 , 35% 
Roadster, Time Travlr Round Neck T-shirt , Rs.399 , Rs.319 , 20% 
Kook N Keech, Solid Round Neck T-shirt , Rs.699 , Rs.419 , 40% 
Roadster, Printed Round Neck T-shirt , Rs.499 , Rs.249 , 50% 
